"corpus";"id";"det";"det_lemma";"context";"context_pos";"noun";"noun_lemma";"noun_pos";"Period";"period_simple";"Genre";"Dialect";"File_name";"Text_name";"Date";"Author";"Verse_or_prose";"Foreign_original";"Relationship_to_spoken_language";"Prototypicaltext_category";"pde_count";"semantics";"orig";"oe_etymon";"oe_class";"oe_stem";"oe_gender"
"ME";"salt:/ppcme2/cmgregor.m4#sTok43771";"the";"the";"unto the ale howse";"PP";"ale";"ale";"N";"M4";"m4";"";"SL";"CMGREGOR";"";"";"X";"PROSE";"X";"WRITTEN";"NARR NON-IMAG";"u";"s";"G";"ealu";"Weak";"Stems in -þ";"N"
"ME";"salt:/ppcme2/cmkempe.m4#sTok4086";"þe";"the";"þe ale was as fayr standyng vndyr berm as 0 0 *T*-2 any man mygth se";"IP";"ale";"ale";"N";"M4";"m4";"";"EMO";"CMKEMPE";"";"";"KEMPE MARGERY";"PROSE";"X";"WRITTEN";"INSTR REL";"u";"s";"G";"ealu";"Weak";"Stems in -þ";"N"
"ME";"salt:/ppcme2/cmkempe.m4#sTok4112";"þe";"the";"alle þe ale was lost euery brewyng aftyr oþer";"IP";"ale";"ale";"N";"M4";"m4";"";"EMO";"CMKEMPE";"";"";"KEMPE MARGERY";"PROSE";"X";"WRITTEN";"INSTR REL";"u";"s";"G";"ealu";"Weak";"Stems in -þ";"N"
"ME";"salt:/ppcme2/cmkempe.m4#sTok61588";"þe";"the";"at þe ale";"PP";"ale";"ale";"N";"M4";"m4";"";"EMO";"CMKEMPE";"";"";"KEMPE MARGERY";"PROSE";"X";"WRITTEN";"INSTR REL";"u";"s";"G";"ealu";"Weak";"Stems in -þ";"N"
"ME";"salt:/ppcme2/cmthorn.mx4#sTok5718";"a";"a";"with a littill ale : pigill , <P_71> bugill & sanigle";"PP";"ale";"ale";"N";"mx4";"m4";"Handbooks, medicine";"Northern";"cmthorn.mx4";"Liber de Diversis Medicinis";"c1440";"";"";"";"";;"u";"s";"G";"ealu";"Weak";"Stems in -þ";"N"
"ME";"salt:/ppcme2/cmbenrul.m3#sTok20738";"þe";"the";"til þe bisschope";"PP";"bisschope";"bishop";"N";"M3";"m3";"";"NL";"CMBENRUL";"";"";"X";"PROSE";"X";"WRITTEN";"INSTR REL";"c";"c";"G";"bisceop";"Strong";"A-Stem";"M"
"ME";"salt:/ppcme2/cmbrut3.m3#sTok22046";"þe";"the";"But þe bysshop of London 0 þat *T*-1 was þo , 0 þat me called *T*-2 Gosselyn , scaped ,";"IP-MAT";"bysshop";"bishop";"N";"M3";"m3";"";"WML";"CMBRUT3";"";"";"X";"PROSE";"X";"WRITTEN";"NARR NON-IMAG";"c";"c";"G";"bisceop";"Strong";"A-Stem";"M"
"ME";"salt:/ppcme2/cmbrut3.m3#sTok22129";"þ=e=";"the";"And so þ=e= Bysshop Gosselyn went þens with-oute ony Socour or helpe ;";"IP-MAT";"Bysshop";"bishop";"N";"M3";"m3";"";"WML";"CMBRUT3";"";"";"X";"PROSE";"X";"WRITTEN";"NARR NON-IMAG";"c";"c";"G";"bisceop";"Strong";"A-Stem";"M"
"ME";"salt:/ppcme2/cmbrut3.m3#sTok22179";"The";"the";"The bysshop prayed this Kyng Aldroye of socour & of helpe .";"IP-MAT";"bysshop";"bishop";"N";"M3";"m3";"";"WML";"CMBRUT3";"";"";"X";"PROSE";"X";"WRITTEN";"NARR NON-IMAG";"c";"c";"G";"bisceop";"Strong";"A-Stem";"M"
"ME";"salt:/ppcme2/cmbrut3.m3#sTok22199";"þ=e=";"the";"*T*-1 þ=e= bysshop fledde";"IP";"bysshop";"bishop";"N";"M3";"m3";"";"WML";"CMBRUT3";"";"";"X";"PROSE";"X";"WRITTEN";"NARR NON-IMAG";"c";"c";"G";"bisceop";"Strong";"A-Stem";"M"
