lemma;PDE_count;semantics;orig;OE_etymon;OE_class;OE_stem;OE_gender
bliss;u;a;G;bliss;Strong;O-Stem;F
day;c;a;G;dæg;Strong;A-Stem;M
evil;u;a;G;yfel;Strong;A-Stem;N
heaven;u;a;G;heofon;Strong;A-Stem;M
lore;u;a;G;lar;Strong;O-Stem;F
love;u;a;G;lufu;Strong;O-Stem;F
might;u;a;G;meaht;Strong;O-Stem;F
name;c;a;G;nama;Weak;N-Stem;M
night;c;a;G;niht;Strong;A-Stem;N
sin;c;a;G;syn;Strong;O-Stem;F
soul;c;a;G;sawel;Strong;O-Stem;F
wisdom;u;a;G;wisdom;Strong;A-Stem;M
work;u;a;G;weorc;Strong;A-Stem;N
year;c;a;G;gear;Strong;A-Stem;N
doom;u;a;G;dom;Strong;A-Stem;M
craft;c;a;G;cræft;Strong;A-Stem;M
right;c;a;G;riht;Strong;A-Stem;N
land;u;a;G;land;Strong;A-Stem;N
death;u;a;G;deaþ;Strong;A-Stem;M
mood;c;a;G;mod;Strong;A-Stem;N
bishop;c;c;G;bisceop;Strong;A-Stem;M
brother;c;c;G;broþor;Irregular;Stem in -r;M
daughter;c;c;G;dohtor;Irregular;Stem in -r;F
devil;c;c;G;deofol;Strong;A-Stem;M
father;c;c;G;fæder;Irregular;Stem in -r;M
folk;u;c;G;folc;Strong;A-Stem;N
hand;c;c;G;hand;Strong;U-Stem;F
heart;c;c;G;heorte;Weak;N-Stem;F
horse;c;c;G;hors;Strong;A-Stem;N
king;c;c;G;cyning;Strong;A-Stem;M
man;c;c;G;mann;Weak;Consonant-Stem;M/N
son;c;c;G;sunu;Strong;U-Stem;M
wife;c;c;G;wif;Strong;A-Stem;N
eye;c;c;G;eage;Strong;A-Stem;M
book;c;c;G;boc;Weak;Consonant-Stem;F
ship;c;c;G;scip;Strong;A-Stem;N
house;c;c;G;hus;Strong;A-Stem;N
stone;u;c;G;stan;Strong;A-Stem;M
tree;c;c;G;treow;Strong;A-Stem;N
fish;u;c;G;fisc;Strong;A-Stem;M
hound;c;c;G;hund;Strong;A-Stem;M
blood;u;s;G;blod;Strong;A-Stem;N
earth;u;s;G;eorþe;Weak;N-Stem;F
flesh;u;s;G;flæsc;Strong;I-Stem;N
gold;u;s;G;gold;Strong;A-Stem;N
honey;u;s;G;hunig;Strong;A-Stem;N
oil;u;s;G;ele;Strong;A-Stem;M
water;u;s;G;wæter;Strong;A-Stem;N
dust;u;s;G;dust;Strong;A-Stem;N
seed;c;s;G;seed;Strong;A-Stem;N
meat;u;s;G;mete;Strong;A-Stem;M
loaf;u;s;G;hlaf;Strong;A-Stem;M
wood;u;s;G;wudu;Strong;U-Stem;M
wet;u;s;G;wæta;Weak;N-Stem;M/F
butter;u;s;G;butere;Weak;N-Stem;F
cloth;u;s;G;claþ;Strong;A-Stem;M
silver;u;s;G;seolfor;Strong;A-Stem;N
salt;u;s;G;sealt;Strong;A-Stem;N
ale;u;s;G;ealu;Weak;Stems in -þ;N
milk;u;s;G;meolc;Strong;I-Stem;F
grace;u;a;R;;;;
manner;u;a;R;;;;
mercy;u;a;R;;;;
charity;u;a;R;;;;
virtue;u;a;R;;;;
creature;c;c;R;;;;
castle;c;c;R;;;;
enemy;c;c;R;;;;
emperor;c;c;R;;;;
country;c;c;R;;;;
fur;u;s;R;;;;
substance;c;s;R;;;;
venom;u;s;R;;;;
fruit;c;s;R;;;;
matter;c;s;R;;;;
