"id";"token";"lemma";"anno_ptb::pos";"author";"birthdate";"date_of_composition";"filename";"genre";"manuscript";"period";"plural";"singular";"pde_count";"semantics";"orig";"oe_etymon";"oe_class";"oe_stem";"oe_gender"
"salt:/ppcmbe2/adams-1787-2#sTok427";"names";"name";"NS";"Adams, George ";"b. 1750, d. 1795 ";"1787 ";"adams-1787 ";"SCIENCE OTHER ";"n/a ";"l2";1;0;"c";"a";"G";"nama";"Weak";"N-Stem";"M"
"salt:/ppcmbe2/adams-1787-2#sTok712";"names";"name";"NS";"Adams, George ";"b. 1750, d. 1795 ";"1787 ";"adams-1787 ";"SCIENCE OTHER ";"n/a ";"l2";1;0;"c";"a";"G";"nama";"Weak";"N-Stem";"M"
"salt:/ppcmbe2/adams-1787-2#sTok838";"work";"work";"N";"Adams, George ";"b. 1750, d. 1795 ";"1787 ";"adams-1787 ";"SCIENCE OTHER ";"n/a ";"l2";0;1;"u";"a";"G";"weorc";"Strong";"A-Stem";"N"
"salt:/ppcmbe2/adams-1787-2#sTok1603";"years";"year";"NS";"Adams, George ";"b. 1750, d. 1795 ";"1787 ";"adams-1787 ";"SCIENCE OTHER ";"n/a ";"l2";1;0;"c";"a";"G";"gear";"Strong";"A-Stem";"N"
"salt:/ppcmbe2/adams-1787-2#sTok2324";"year";"year";"N";"Adams, George ";"b. 1750, d. 1795 ";"1787 ";"adams-1787 ";"SCIENCE OTHER ";"n/a ";"l2";0;1;"c";"a";"G";"gear";"Strong";"A-Stem";"N"
"salt:/ppcmbe2/adams-1787-2#sTok3527";"years";"year";"NS";"Adams, George ";"b. 1750, d. 1795 ";"1787 ";"adams-1787 ";"SCIENCE OTHER ";"n/a ";"l2";1;0;"c";"a";"G";"gear";"Strong";"A-Stem";"N"
"salt:/ppcmbe2/adams-1787-2#sTok4721";"year";"year";"N";"Adams, George ";"b. 1750, d. 1795 ";"1787 ";"adams-1787 ";"SCIENCE OTHER ";"n/a ";"l2";0;1;"c";"a";"G";"gear";"Strong";"A-Stem";"N"
"salt:/ppcmbe2/adams-1787-2#sTok5932";"name";"name";"N";"Adams, George ";"b. 1750, d. 1795 ";"1787 ";"adams-1787 ";"SCIENCE OTHER ";"n/a ";"l2";0;1;"c";"a";"G";"nama";"Weak";"N-Stem";"M"
"salt:/ppcmbe2/adams-1787-2#sTok6761";"name";"name";"N";"Adams, George ";"b. 1750, d. 1795 ";"1787 ";"adams-1787 ";"SCIENCE OTHER ";"n/a ";"l2";0;1;"c";"a";"G";"nama";"Weak";"N-Stem";"M"
"salt:/ppcmbe2/adams-1787-2#sTok6823";"work";"work";"N";"Adams, George ";"b. 1750, d. 1795 ";"1787 ";"adams-1787 ";"SCIENCE OTHER ";"n/a ";"l2";0;1;"u";"a";"G";"weorc";"Strong";"A-Stem";"N"
