id;lemma;text;genre;dialect;plural;singular;count;semantics;orig;oe reflex;oe class;oe stem;oe gender;period_simple;period_sorted;period_main
ale-1;ale;coaelhom.o3;Homilies;West Saxon;0;1;u;s;G;ealu;Weak;Stems in -þ;N;o3;d_o3;a_oe
ale-2;ale;coblick.o23;Biography, Lives;West Saxon/Anglian;0;1;u;s;G;ealu;Weak;Stems in -þ;N;o2;c_o2;a_oe
ale-3;ale;coboeth.o2;Philosophy;West Saxon;0;1;u;s;G;ealu;Weak;Stems in -þ;N;o2;c_o2;a_oe
ale-4;ale;cocathom2.o3;Homilies;West Saxon;0;1;u;s;G;ealu;Weak;Stems in -þ;N;o3;d_o3;a_oe
ale-5;ale;cochdrul;Rule;;0;1;u;s;G;ealu;Weak;Stems in -þ;N;?;a_o?;a_oe
ale-6;ale;cochdrul;Rule;;0;1;u;s;G;ealu;Weak;Stems in -þ;N;?;a_o?;a_oe
ale-7;ale;cochdrul;Rule;;0;1;u;s;G;ealu;Weak;Stems in -þ;N;?;a_o?;a_oe
ale-8;ale;cochdrul;Rule;;0;1;u;s;G;ealu;Weak;Stems in -þ;N;?;a_o?;a_oe
ale-9;ale;cochronE.o34;History;West Saxon/X;0;1;u;s;G;ealu;Weak;Stems in -þ;N;o3;d_o3;a_oe
ale-10;ale;cochronE.o34;History;West Saxon/X;0;1;u;s;G;ealu;Weak;Stems in -þ;N;o3;d_o3;a_oe
ale-11;ale;codicts.o34;Philosophy;West Saxon/X;0;1;u;s;G;ealu;Weak;Stems in -þ;N;o3;d_o3;a_oe
ale-12;ale;codocu1.o1;Charters and Wills;Anglian Mercian;0;1;u;s;G;ealu;Weak;Stems in -þ;N;o1;b_o1;a_oe
ale-13;ale;codocu1.o1;Charters and Wills;Kentish;0;1;u;s;G;ealu;Weak;Stems in -þ;N;o1;b_o1;a_oe
ale-14;ale;codocu3.o23;Charters and Wills;Anglian Mercian/X;0;1;u;s;G;ealu;Weak;Stems in -þ;N;o2;c_o2;a_oe
ale-15;ale;codocu3.o3;Charters and Wills;Anglian/X;0;1;u;s;G;ealu;Weak;Stems in -þ;N;o3;d_o3;a_oe
ale-16;ale;coherbar;Handbooks, medicine;West Saxon/Anglian;0;1;u;s;G;ealu;Weak;Stems in -þ;N;?;a_o?;a_oe
ale-17;ale;coherbar;Handbooks, medicine;West Saxon/Anglian;0;1;u;s;G;ealu;Weak;Stems in -þ;N;?;a_o?;a_oe
ale-18;ale;coherbar;Handbooks, medicine;West Saxon/Anglian;0;1;u;s;G;ealu;Weak;Stems in -þ;N;?;a_o?;a_oe
ale-19;ale;colacnu.o23;Handbooks, medicine;West Saxon/Anglian;0;1;u;s;G;ealu;Weak;Stems in -þ;N;o2;c_o2;a_oe
ale-20;ale;colacnu.o23;Handbooks, medicine;West Saxon/Anglian;0;1;u;s;G;ealu;Weak;Stems in -þ;N;o2;c_o2;a_oe
ale-21;ale;colacnu.o23;Handbooks, medicine;West Saxon/Anglian;0;1;u;s;G;ealu;Weak;Stems in -þ;N;o2;c_o2;a_oe
ale-22;ale;colacnu.o23;Handbooks, medicine;West Saxon/Anglian;0;1;u;s;G;ealu;Weak;Stems in -þ;N;o2;c_o2;a_oe
ale-23;ale;colacnu.o23;Handbooks, medicine;West Saxon/Anglian;0;1;u;s;G;ealu;Weak;Stems in -þ;N;o2;c_o2;a_oe
ale-24;ale;colacnu.o23;Handbooks, medicine;West Saxon/Anglian;0;1;u;s;G;ealu;Weak;Stems in -þ;N;o2;c_o2;a_oe
ale-25;ale;colacnu.o23;Handbooks, medicine;West Saxon/Anglian;0;1;u;s;G;ealu;Weak;Stems in -þ;N;o2;c_o2;a_oe
ale-26;ale;colacnu.o23;Handbooks, medicine;West Saxon/Anglian;0;1;u;s;G;ealu;Weak;Stems in -þ;N;o2;c_o2;a_oe
ale-27;ale;colacnu.o23;Handbooks, medicine;West Saxon/Anglian;0;1;u;s;G;ealu;Weak;Stems in -þ;N;o2;c_o2;a_oe
