"id";"q_token";"q_lemma";"lemma";"text";"genre";"dialect";"plural";"singular";"count";"semantics";"orig";"oe reflex";"oe class";"oe stem";"oe gender";"period_simple";"period_sorted";"period_main"
"18290035";"alle";"all";"ale";"CMKEMPE";"";"EMO";0;1;"u";"s";"G";"ealu";"Weak";"Stems in -þ";"N";"m4";"h_m4";"b_me"
"19363955";"littill";"little";"ale";"cmthorn.mx4";"Handbooks, medicine";"Northern";0;1;"u";"s";"G";"ealu";"Weak";"Stems in -þ";"N";"m4";"h_m4";"b_me"
"17601205";"meny";"many";"bishop";"CMBRUT3";"";"WML";1;0;"c";"c";"G";"bisceop";"Strong";"A-Stem";"M";"m3";"g_m3";"b_me"
"17692465";"all";"all";"bishop";"CMCAPCHR";"";"EML";1;0;"c";"c";"G";"bisceop";"Strong";"A-Stem";"M";"m4";"h_m4";"b_me"
"17692852";"no";"no";"bishop";"CMCAPCHR";"";"EML";0;1;"c";"c";"G";"bisceop";"Strong";"A-Stem";"M";"m4";"h_m4";"b_me"
"17698892";"all";"all";"bishop";"CMCAPCHR";"";"EML";1;0;"c";"c";"G";"bisceop";"Strong";"A-Stem";"M";"m4";"h_m4";"b_me"
"17700124";"All";"all";"bishop";"CMCAPCHR";"";"EML";1;0;"c";"c";"G";"bisceop";"Strong";"A-Stem";"M";"m4";"h_m4";"b_me"
"17703780";"no";"no";"bishop";"CMCAPCHR";"";"EML";0;1;"c";"c";"G";"bisceop";"Strong";"A-Stem";"M";"m4";"h_m4";"b_me"
"17725186";"many";"many";"bishop";"CMCAPCHR";"";"EML";1;0;"c";"c";"G";"bisceop";"Strong";"A-Stem";"M";"m4";"h_m4";"b_me"
"17765470";"alle";"all";"bishop";"CMCAPCHR";"";"EML";1;0;"c";"c";"G";"bisceop";"Strong";"A-Stem";"M";"m4";"h_m4";"b_me"
"18126189";"alle";"all";"bishop";"CMGREGOR";"";"SL";1;0;"c";"c";"G";"bisceop";"Strong";"A-Stem";"M";"m4";"h_m4";"b_me"
"18140091";"alle";"all";"bishop";"CMGREGOR";"";"SL";1;0;"c";"c";"G";"bisceop";"Strong";"A-Stem";"M";"m4";"h_m4";"b_me"
"18145345";"many";"many";"bishop";"CMGREGOR";"";"SL";1;0;"c";"c";"G";"bisceop";"Strong";"A-Stem";"M";"m4";"h_m4";"b_me"
"18181463";"alle";"all";"bishop";"CMGREGOR";"";"SL";0;1;"c";"c";"G";"bisceop";"Strong";"A-Stem";"M";"m4";"h_m4";"b_me"
