"lemma","analysis_period","q_many_n","q_many_total","number_plural_n","number_plural_total","det_a_n","det_a_total","q_plural_n","q_plural_total","det_plural_n","det_plural_total","semantics","q_many_prop","q_many_prop_smoothed","q_many_logit_smoothed","number_plural_prop","number_plural_prop_smoothed","number_plural_logit_smoothed","det_a_prop","det_a_prop_smoothed","det_a_logit_smoothed","q_plural_prop","q_plural_prop_smoothed","q_plural_logit_smoothed","det_plural_prop","det_plural_prop_smoothed","det_plural_logit_smoothed","has_q_many","has_number_plural","has_det_a","complete_primary","min_primary_total","primary_total"
"ale","all_periods",0,0,0,184,4,13,0,4,0,13,"s",,0.5,0,0,0.0027027027027027,-5.91079664404053,0.307692307692308,0.321428571428571,-0.747214401830221,0,0.1,-2.19722457733622,0,0.0357142857142857,-3.29583686600433,FALSE,TRUE,TRUE,FALSE,0,197
"attor_poison","all_periods",0,0,9,116,0,0,0,0,0,0,"s",,0.5,0,0.0775862068965517,0.0811965811965812,-2.42619904896122,,0.5,0,,0.5,0,,0.5,0,FALSE,TRUE,FALSE,FALSE,0,116
"bearn_child","all_periods",0,0,475,729,0,0,0,0,0,0,"c",,0.5,0,0.651577503429355,0.651369863013699,0.625066045994867,,0.5,0,,0.5,0,,0.5,0,FALSE,TRUE,FALSE,FALSE,0,729
"bigleofa_food","all_periods",0,0,8,108,0,0,0,0,0,0,"s",,0.5,0,0.0740740740740741,0.0779816513761468,-2.47009156400286,,0.5,0,,0.5,0,,0.5,0,FALSE,TRUE,FALSE,FALSE,0,108
"bishop","all_periods",12,12,426,3197,50,391,17,26,92,525,"c",1,0.961538461538462,3.2188758248682,0.133249921801689,0.133364602876798,-1.87153160192813,0.127877237851662,0.128826530612245,-1.91137434272953,0.653846153846154,0.648148148148148,0.610909082322973,0.175238095238095,0.175855513307985,-1.54468315170222,TRUE,TRUE,TRUE,TRUE,12,3600
"bliss","all_periods",0,46,27,957,6,140,3,44,6,193,"a",0,0.0106382978723404,-4.53259949315326,0.0282131661442006,0.028705636743215,-3.52153607140978,0.0428571428571429,0.0460992907801418,-3.0297620221403,0.0681818181818182,0.0777777777777778,-2.47293045874128,0.0310880829015544,0.0335051546391753,-3.36197666850887,TRUE,TRUE,TRUE,TRUE,46,1143
"blood","all_periods",1,4,7,1553,6,346,0,26,0,364,"s",0.25,0.3,-0.847297860387204,0.00450740502253703,0.00482625482625483,-5.32884657158286,0.0173410404624277,0.0187319884726225,-3.95861294868798,0,0.0185185185185185,-3.97029191355212,0,0.00136986301369863,-6.59167373200866,TRUE,TRUE,TRUE,TRUE,4,1903
"book","all_periods",23,26,854,2115,179,572,59,94,133,858,"c",0.884615384615385,0.87037037037037,1.90423745265474,0.403782505910166,0.40382797731569,-0.389540265525467,0.312937062937063,0.31326352530541,-0.784905859929124,0.627659574468085,0.626315789473684,0.516443616070214,0.155011655011655,0.155413271245634,-1.69275959448394,TRUE,TRUE,TRUE,TRUE,26,2713
"brother","all_periods",3,3,860,2647,34,82,24,29,90,180,"c",1,0.875,1.94591014905531,0.324896108802418,0.324962235649547,-0.731059658916568,0.414634146341463,0.41566265060241,-0.340604473906123,0.827586206896552,0.816666666666667,1.49392502531226,0.5,0.5,0,TRUE,TRUE,TRUE,TRUE,3,2732
"butter","all_periods",0,0,0,203,0,6,0,2,0,6,"s",,0.5,0,0,0.00245098039215686,-6.00881318544259,0,0.0714285714285714,-2.56494935746154,0,0.166666666666667,-1.6094379124341,0,0.0714285714285714,-2.56494935746154,FALSE,TRUE,TRUE,FALSE,0,209
"castle","all_periods",2,2,72,539,68,345,6,12,18,416,"c",1,0.833333333333333,1.6094379124341,0.133580705009276,0.134259259259259,-1.86381278686811,0.197101449275362,0.197976878612717,-1.39898718791831,0.5,0.5,0,0.0432692307692308,0.0443645083932854,-3.06993676614599,TRUE,TRUE,TRUE,TRUE,2,886
"cloth","all_periods",1,1,212,615,62,102,6,13,20,138,"s",1,0.75,1.09861228866811,0.344715447154472,0.344967532467532,-0.641234499345532,0.607843137254902,0.606796116504854,0.433864582629862,0.461538461538462,0.464285714285714,-0.143100843640673,0.144927536231884,0.147482014388489,-1.75448807443082,TRUE,TRUE,TRUE,TRUE,1,718
"country","all_periods",17,17,204,2073,173,1023,50,149,67,1393,"c",1,0.972222222222222,3.55534806148941,0.0984081041968162,0.0986017357762777,-2.21285831893431,0.16911045943304,0.16943359375,-1.589646812449,0.335570469798658,0.336666666666667,-0.678184307883233,0.0480976310122039,0.0484218077474892,-2.97817157569931,TRUE,TRUE,TRUE,TRUE,17,3113
"craft","all_periods",3,6,141,431,4,18,11,19,6,27,"a",0.5,0.5,0,0.327146171693735,0.327546296296296,-0.719303859208674,0.222222222222222,0.236842105263158,-1.17007125265025,0.578947368421053,0.575,0.302280871872934,0.222222222222222,0.232142857142857,-1.19625075823203,TRUE,TRUE,TRUE,TRUE,6,455
"creature","all_periods",0,0,265,931,88,268,78,154,52,572,"c",,0.5,0,0.284640171858217,0.284871244635193,-0.92042529893677,0.328358208955224,0.328996282527881,-0.712728225759052,0.506493506493506,0.506451612903226,0.0258078839558727,0.0909090909090909,0.0916230366492147,-2.29397671845745,FALSE,TRUE,TRUE,FALSE,0,1199
"daughter","all_periods",0,0,278,1345,53,132,3,4,21,159,"c",,0.5,0,0.206691449814126,0.206909361069837,-1.34365668573544,0.401515151515151,0.402255639097744,-0.396075367758325,0.75,0.7,0.847297860387203,0.132075471698113,0.134375,-1.86281739049378,FALSE,TRUE,TRUE,FALSE,0,1477
"day","all_periods",77,90,2941,10628,438,2407,262,780,503,3903,"a",0.855555555555556,0.851648351648352,1.74758825091492,0.27672186676703,0.276742873271239,-0.960675977810262,0.181969256335688,0.182101328903654,-1.50217517059872,0.335897435897436,0.336107554417414,-0.680688945637903,0.128875224186523,0.128970286885246,-1.91009404645708,TRUE,TRUE,TRUE,TRUE,90,13125
"death","all_periods",0,0,31,3192,26,393,2,11,2,425,"a",,0.5,0,0.00971177944862155,0.00986533041027247,-4.60881433166708,0.0661577608142494,0.067258883248731,-2.62957858566072,0.181818181818182,0.208333333333333,-1.33500106673234,0.00470588235294118,0.00586854460093897,-5.13226278221795,FALSE,TRUE,TRUE,FALSE,0,3585
"devil","all_periods",1,6,432,1657,43,90,11,18,26,126,"c",0.166666666666667,0.214285714285714,-1.29928298413026,0.260712130356065,0.260856453558504,-1.04152187659623,0.477777777777778,0.478021978021978,-0.0879687729459569,0.611111111111111,0.605263157894737,0.42744401482694,0.206349206349206,0.208661417322835,-1.33301299450695,TRUE,TRUE,TRUE,TRUE,6,1753
"doom","all_periods",0,31,119,913,4,72,0,7,4,87,"a",0,0.015625,-4.14313472639153,0.130339539978094,0.13074398249453,-1.89439661460521,0.0555555555555556,0.0616438356164384,-2.72275634849191,0,0.0625,-2.70805020110221,0.0459770114942529,0.0511363636363636,-2.92076923508054,TRUE,TRUE,TRUE,TRUE,31,1016
"dust","all_periods",0,0,2,370,5,52,0,1,0,55,"s",,0.5,0,0.00540540540540541,0.00673854447439353,-4.99314997975524,0.0961538461538462,0.10377358490566,-2.15598161880217,0,0.25,-1.09861228866811,0,0.00892857142857143,-4.70953020131233,FALSE,TRUE,TRUE,FALSE,0,422
"earth","all_periods",0,1,11,2525,5,828,0,21,5,864,"s",0,0.25,-1.09861228866811,0.00435643564356436,0.00455265241488519,-5.38748222024282,0.00603864734299517,0.00663449939686369,-5.00881545737927,0,0.0227272727272727,-3.76120011569356,0.00578703703703704,0.00635838150289017,-5.05160273258448,TRUE,TRUE,TRUE,TRUE,1,3354
"eced_acid","all_periods",0,0,0,191,0,0,0,0,0,0,"s",,0.5,0,0,0.00260416666666667,-5.94803498918065,,0.5,0,,0.5,0,,0.5,0,FALSE,TRUE,FALSE,FALSE,0,191
"emperor","all_periods",0,0,46,594,9,265,0,2,34,329,"c",,0.5,0,0.0774410774410774,0.0781512605042017,-2.46773496712197,0.0339622641509434,0.0357142857142857,-3.29583686600433,0,0.166666666666667,-1.6094379124341,0.103343465045593,0.104545454545455,-2.14770951280884,FALSE,TRUE,TRUE,FALSE,0,859
"enemy","all_periods",3,3,541,1088,75,393,31,40,43,439,"c",1,0.875,1.94591014905531,0.497242647058824,0.497245179063361,-0.0110193952496103,0.190839694656489,0.191624365482233,-1.43948981875724,0.775,0.768292682926829,1.19869574722509,0.0979498861047836,0.0988636363636364,-2.20991510298026,TRUE,TRUE,TRUE,TRUE,3,1484
"evil","all_periods",26,61,276,1644,35,142,27,105,47,220,"a",0.426229508196721,0.42741935483871,-0.292387963489193,0.167883211678832,0.168085106382979,-1.59925970751834,0.246478873239437,0.248251748251748,-1.10795815108635,0.257142857142857,0.259433962264151,-1.04891262011584,0.213636363636364,0.214932126696833,-1.29544788834632,TRUE,TRUE,TRUE,TRUE,61,1847
"eye","all_periods",1,44,1736,2791,64,250,20,50,186,444,"c",0.0227272727272727,0.0333333333333333,-3.36729582998647,0.621999283410964,0.62195558739255,0.497857004895754,0.256,0.256972111553785,-1.06176601528214,0.4,0.401960784313726,-0.397301797469003,0.418918918918919,0.419101123595506,-0.326464454864614,TRUE,TRUE,TRUE,TRUE,44,3085
"fæt_cup","all_periods",0,0,272,400,0,0,0,0,0,0,"c",,0.5,0,0.68,0.679551122194514,0.751709709768025,,0.5,0,,0.5,0,,0.5,0,FALSE,TRUE,FALSE,FALSE,0,400
"father","all_periods",4,4,429,4194,61,262,9,14,45,323,"c",1,0.9,2.19722457733622,0.102288984263233,0.10238379022646,-2.1710141921171,0.232824427480916,0.23384030418251,-1.18675220657427,0.642857142857143,0.633333333333333,0.54654370636807,0.139318885448916,0.140432098765432,-1.81170573341043,TRUE,TRUE,TRUE,TRUE,4,4460
"feoh_cattle","all_periods",0,0,1,354,0,0,0,0,0,0,"s",,0.5,0,0.00282485875706215,0.00422535211267606,-5.46241837722846,,0.5,0,,0.5,0,,0.5,0,FALSE,TRUE,FALSE,FALSE,0,354
