"lemma","analysis_period","q_many_n","q_many_total","number_plural_n","number_plural_total","det_a_n","det_a_total","q_plural_n","q_plural_total","det_plural_n","det_plural_total","semantics","q_many_prop","q_many_prop_smoothed","q_many_logit_smoothed","number_plural_prop","number_plural_prop_smoothed","number_plural_logit_smoothed","det_a_prop","det_a_prop_smoothed","det_a_logit_smoothed","q_plural_prop","q_plural_prop_smoothed","q_plural_logit_smoothed","det_plural_prop","det_plural_prop_smoothed","det_plural_logit_smoothed","has_q_many","has_number_plural","has_det_a","complete_primary","min_primary_total","primary_total"
"ale","a_oe",0,0,0,138,0,0,0,0,0,0,"s",,0.5,0,0,0.00359712230215827,-5.62401750618734,,0.5,0,,0.5,0,,0.5,0,FALSE,TRUE,FALSE,FALSE,0,138
"attor_poison","a_oe",0,0,9,116,0,0,0,0,0,0,"s",,0.5,0,0.0775862068965517,0.0811965811965812,-2.42619904896122,,0.5,0,,0.5,0,,0.5,0,FALSE,TRUE,FALSE,FALSE,0,116
"bearn_child","a_oe",0,0,475,729,0,0,0,0,0,0,"c",,0.5,0,0.651577503429355,0.651369863013699,0.625066045994867,,0.5,0,,0.5,0,,0.5,0,FALSE,TRUE,FALSE,FALSE,0,729
"bigleofa_food","a_oe",0,0,8,108,0,0,0,0,0,0,"s",,0.5,0,0.0740740740740741,0.0779816513761468,-2.47009156400286,,0.5,0,,0.5,0,,0.5,0,FALSE,TRUE,FALSE,FALSE,0,108
"bishop","a_oe",7,7,226,2240,0,0,0,0,0,0,"c",1,0.9375,2.70805020110221,0.100892857142857,0.101070950468541,-2.18538135970831,,0.5,0,,0.5,0,,0.5,0,TRUE,TRUE,FALSE,FALSE,0,2247
"bliss","a_oe",0,33,6,304,0,0,0,0,0,0,"a",0,0.0147058823529412,-4.20469261939097,0.0197368421052632,0.0213114754098361,-3.82696775593107,,0.5,0,,0.5,0,,0.5,0,TRUE,TRUE,FALSE,FALSE,0,337
"blood","a_oe",1,1,4,470,0,0,0,0,0,0,"s",1,0.75,1.09861228866811,0.00851063829787234,0.00955414012738853,-4.64118062351112,,0.5,0,,0.5,0,,0.5,0,TRUE,TRUE,FALSE,FALSE,0,471
"book","a_oe",2,5,314,565,0,0,0,0,0,0,"c",0.4,0.416666666666667,-0.336472236621213,0.555752212389381,0.55565371024735,0.223541086600701,,0.5,0,,0.5,0,,0.5,0,TRUE,TRUE,FALSE,FALSE,0,570
"brother","a_oe",1,1,423,1295,0,0,0,0,0,0,"c",1,0.75,1.09861228866811,0.326640926640927,0.326774691358025,-0.722809139984473,,0.5,0,,0.5,0,,0.5,0,TRUE,TRUE,FALSE,FALSE,0,1296
"butter","a_oe",0,0,0,160,0,0,0,0,0,0,"s",,0.5,0,0,0.0031055900621118,-5.77144112313002,,0.5,0,,0.5,0,,0.5,0,FALSE,TRUE,FALSE,FALSE,0,160
