"lemma","analysis_period","q_many_n","q_many_total","number_plural_n","number_plural_total","det_a_n","det_a_total","q_plural_n","q_plural_total","det_plural_n","det_plural_total","semantics","q_many_prop","q_many_prop_smoothed","q_many_logit_smoothed","number_plural_prop","number_plural_prop_smoothed","number_plural_logit_smoothed","det_a_prop","det_a_prop_smoothed","det_a_logit_smoothed","q_plural_prop","q_plural_prop_smoothed","q_plural_logit_smoothed","det_plural_prop","det_plural_prop_smoothed","det_plural_logit_smoothed","has_q_many","has_number_plural","has_det_a","complete_primary","min_primary_total","primary_total"
"ale","a_o?",0,0,0,7,0,0,0,0,0,0,"s",,0.5,0,0,0.0625,-2.70805020110221,,0.5,0,,0.5,0,,0.5,0,FALSE,TRUE,FALSE,FALSE,0,7
"attor_poison","a_o?",0,0,8,29,0,0,0,0,0,0,"s",,0.5,0,0.275862068965517,0.283333333333333,-0.927986771637346,,0.5,0,,0.5,0,,0.5,0,FALSE,TRUE,FALSE,FALSE,0,29
"bearn_child","a_o?",0,0,70,109,0,0,0,0,0,0,"c",,0.5,0,0.642201834862385,0.640909090909091,0.579312037911147,,0.5,0,,0.5,0,,0.5,0,FALSE,TRUE,FALSE,FALSE,0,109
"bigleofa_food","a_o?",0,0,0,2,0,0,0,0,0,0,"s",,0.5,0,0,0.166666666666667,-1.6094379124341,,0.5,0,,0.5,0,,0.5,0,FALSE,TRUE,FALSE,FALSE,0,2
"bishop","a_o?",1,1,41,418,0,0,0,0,0,0,"c",1,0.75,1.09861228866811,0.0980861244019139,0.0990453460620525,-2.20787714145243,,0.5,0,,0.5,0,,0.5,0,TRUE,TRUE,FALSE,FALSE,0,419
"bliss","a_o?",0,10,1,71,0,0,0,0,0,0,"a",0,0.0454545454545455,-3.04452243772342,0.0140845070422535,0.0208333333333333,-3.85014760171006,,0.5,0,,0.5,0,,0.5,0,TRUE,TRUE,FALSE,FALSE,0,81
"blood","a_o?",1,1,1,100,0,0,0,0,0,0,"s",1,0.75,1.09861228866811,0.01,0.0148514851485149,-4.19469253605638,,0.5,0,,0.5,0,,0.5,0,TRUE,TRUE,FALSE,FALSE,0,101
"book","a_o?",1,3,96,185,0,0,0,0,0,0,"c",0.333333333333333,0.375,-0.510825623765991,0.518918918918919,0.518817204301075,0.0753043830641306,,0.5,0,,0.5,0,,0.5,0,TRUE,TRUE,FALSE,FALSE,0,188
"brother","a_o?",0,0,63,224,0,0,0,0,0,0,"c",,0.5,0,0.28125,0.282222222222222,-0.933465236764065,,0.5,0,,0.5,0,,0.5,0,FALSE,TRUE,FALSE,FALSE,0,224
"butter","a_o?",0,0,0,5,0,0,0,0,0,0,"s",,0.5,0,0,0.0833333333333333,-2.39789527279837,,0.5,0,,0.5,0,,0.5,0,FALSE,TRUE,FALSE,FALSE,0,5
"cloth","a_o?",0,0,6,23,0,0,0,0,0,0,"s",,0.5,0,0.260869565217391,0.270833333333333,-0.990398704027877,,0.5,0,,0.5,0,,0.5,0,FALSE,TRUE,FALSE,FALSE,0,23
